,tweets_text_processed
0,not to be confused with vaai both work with arrays of information however
1,me and  of my closest friends happy and happy 
2,day of was a success two more days of fun and fantastic sessions you dont wan to miss so check out the catalog to start planning your sessions for tomorrow
3,el tratamiento del a travs del uso de  un poco de lo que se vivi hoy en el 
4,interested in testing out some of these products you keep hearing about in all of these sessions use code vmworld2021 for  off of to have access to  you might also win a prize too
5,still hanging out talking tech whiskey and more in the lounge after day of  come and chat with us
6,what   still cant believe it but the honor gave me is more than i deserve  congrats to you as well and always makes me surprise 
7,vmware is the leader
8,the blessing and the curse of an around the clock is that sessions are running around the clock presenting content into the wee hours the next couple days
9,getting ready for my meet the expert session over early coffee
10,infrastructure announcements from vmworld  all in one place
11,frees access to platform with new community edition allowing customers to run and manage based at no cost in environments
12,portfolio will enable organizations to run manage and better secure apps across near and far locations
13,introducing crosscloud services to deliver freedom flexibility and for customers across any
14,introducing with services an easy path to enterprisegrade
15,announcing availability of on
16,introducing the new initiative
17,world is evolving from a sudden reset on remote work practices to radical shifts in consumer behavior to the onset of virtual everything catch a glimpse of the impact of amp at oct 7
18,vmwares crosscloud service promises agnostic gateways to all the big clouds
19,vmware cloud smart multicloud vmworld
20,is on starting with a technical deep dive by
21,time for day of
22,vmware cloud smart multicloud vmworld
23,multicloud infrastructure announcements from vmworld  all in one place
24,its showtime folks
25,see it at theres still time to register
26,emea begins in less than an hour register now and dont miss it
27,join us for a hour global experience click here to register
28,thank you for sending this swag kit
29,you guys ready for  i sure am
30,attending following the stream with michael j fox with cmo carol carpenter  extremely informative 
31,started the day with a recovery ride on zwift while watching some of the sessions presented by my colleagues i guess i found the only benefit of a virtual conference
32,really a good session learning much from michael j fox journey then and now got to learn to understand people with parkinson from this session
33,absolutely inspirational session with at what a guy if you dont come out of this session with a more optimistic outlook about life then i feel sorry for you amazing session
34,day of is a wrap lots of sessions to review and deep dive into later this month went through a blazing fast day ops session with and that will take a week to break down and heres
35,i am watching at a really inspiring michael j fox choose happiness
36,it is time
37,a warm welcome from our regional director lorna hardie at the watch party taking place in johannesburg we are excited to be hosting key customers amp partners to enjoy this industryleading virtual event together
38,cul es la mejor forma de acelerar la innovacin empresarial cmo puede entregar aplicaciones y servicios ms rpido para mejorar la experiencia del cliente es posible maximizar la nube lo analizamos de la mano de raghu raghuram ceo en en
39,enterprise sovereignty 
40,no doubt is using vmware to improve systems but in my experience the frontend technology for the customer appears not to have change for a decade  neither has customer service
41,here we are get ready for i m a g i n e t h a t parola dordine il e ottobre immagina e costruisce la strada per ripartire dal  ad
42,today marks the start of  where ceos like and will present alongside movie stars michael j fox and will smith register for the free event here
43,the lockin these days seems to be not about the platform but about the operational and development environment vmware wants you locked into theirs
44,even our vmware ssa executive team is in awe of the innovative announcements being made at at the moment post your vmworld watch space and tag us to be featured
45,one thing that really bothers me is the number of notifications i hear during sessions put that device on dnd when you enter a meetingrecord something
46,oh my
47,want to learn more about new features the team roadmap and other exciting news about the appvisit us at are very excited to meet you there
48,vmware is announcing project arctic now a technology preview of a new architecture for its vsphere virtualization software project arctic effectively makes hybrid cloud the default operating model it natively integrat
49,vmware takes the wraps off vmware edge a platform designed to run manage and secure edgenative apps across multiple clouds
50,is oncheck out our new video tanzu community edition announcement by and  make sure you attend roberts session as well  dont forget to subscribe to our channel
51,as we gear up for and  learn how customers are quickly migrating vmware workloads to google cloud and taking advantage of native services to transform their applications
52,vmwareden ajay patel u an devam eden de yazlmn yazlm gelitiricilerin neminden sz ederken onlara salanacak ortamlarn verimlilie nasl olumlu etki edeceini ve bunu vmware ekosisteminde nasl salanacan paylayor altyap sad
53,presenta en el su enfoque cloudsmart para la era multicloud
54,watching live vmware cross cloud services ambassadors
55,did you already visit veeam at vmworld2021   
56,news
57,i love how simple it has become to install with u3 see for yourself in the following demo easy nsx security for vsphere engineers dem2948
58,lanza su enfoque cloudsmart novedades para la nube el edge y de seguridad
59,lanza su enfoque cloudsmart novedades para la  el y de 
60,learning more about project ensemble in session  nextgen cloud management great story
61,this is just a preview of what you are going to witness
62,lanza su enfoque cloudsmart novedades para la  el y de te lo cuento
63,this multicloud pulse was awesome 
64,big changes
65,onto by covering a guide to the cloud operating model
66, cloud first ist out  mit sollen kunden smart in die ra
67,announcement alert dive into our innovation engine solution keynote at for everything you need to know about project santa cruz and more
68,psst were moving onto over at  find out if youre truly ready for crypto agility dont miss out theres still time to join
69,trying to catch upkeep up
70,here is my third doodle for looking at some of the euc news and announcements with and shankar iyer
71,watching live vmware cross cloud services ambassadors
72,enjoying all the great information coming out of vmworld
73,loving this session about numa very interesting and sometimes way over my head 60 minutes of nonuniform memory access numa rd edition mcl1853
74,starting with project montery
75,interested in testing out some of these products you keep hearing about in all of these sessions use code vmworld2021 for  off of to have access to  you might also win a prize too
76,housefull at  big shout out to the technology veterans who have taken the time to be with and  see you next year
77,they explain it with a tiki bar and flamingo to boot
78,working from the beach sure with vmwares crosscloud services the only thing it cant do is apply your sunscreen
79,multicloud is the next big actually its happening now
80,day beckons
81,watch this interview to learn how and can help you move towards your sustainability goals and solve issues such as meeting carbon credit quotas
82,heading off into my first set of sessions  starting with some data management for cloudnative workloads
83,live streaming so good 
84,access global view global control more to come
85,introducing the xr hub
86,great to see get underway today where launched its new range of it amp cloud offerings coengineered with vmware these solutions will increase the speed at which organisations consume manage amp act on critical  learn more at
87,this collection of integrated services will assist digital businesses in achieving a faster and smarter path to the cloud
88,workspace one xr hub deep dive
89,done with all the tier task
90,check out my colleague presenting at no vm or container left behind with zerto mcl2858s
91,thinking of embarking on your own journey if thats the case then you dont want to miss out on the following session by which starts soon  why should you become a vcdx vmtn3264
92,in case you didnt hear vsphere update is here
93,hi pim how do i find out more about the vmware workspace one uemdem integration you showed at  thanks
94,new blogpost an overview of all projects discussed at
95,doing the kubernetes thing at
96,introduction to kubernetes for the vsphere admin app2183seriously is kubernetes that cool i think we need to have a chat soon
97, session  vrealize operations live demo booth pm est live demo of whats new in vrops be there
98,so many great sessions on ai join us at to explore the future of  vmware and nvidia will showcase our growing collaboration aimed at helping to modernize the  maximizing security improving efficiency and more read our
99,check out our new video mapping vmware solutions on the ransomware process by and  dont forget to subscribe to our channel for more 
100,as a longtime partner with and  invites you to find out whats new from these it leaders in their upcoming session followed by a live qampa on the latest and greatest innovations for enterprise  learn more
101,awesome article by  an overview of all projects discussed at vmworld
102,fireside chat with michael j fox and carol carpenter is inspiring
103,quite humbling to listen to michael j fox and carol carpenter as part of vmware
104,curious about vrealize cloud universal from i break it down in this ondemand demo  just minutes long it out dem2860
105,just seen the chat with one of my youth heroes fantastic open guy with a great mission and mindset best comment did you train to run from bears
106,amazing inspirational and fun discussion with and  my husband and i have now made a commitment to laugh for mins every day
107,
108,set to run for hours consecutively from october to  is a truly global event where delegates will be following the sun exclusively online around the world 
109,in just hours from now noon cdt catch me and matt jones for a mother of all demos of operationalizing live  register now
110,woohoo my first itqonversation is out
111,is on tv please check out all the other itqonversations too
112,watch this interview to learn how and can help you move towards your sustainability goals and solve issues such as meeting carbon credit quotas
113,come on in the water is perfectits time for a advanced threat protection deep dive with at  follow the session link here
114,is your vbrownbag session the vmworld2021 session from this morning or another session to follow on
115,it was a real privilege to participate in the gen session the comms and production teams did an amazing job with the setting and graphics and im really proud of how it all came together
116,just in time for
117,dont miss our session optimizing nvidia gpu and data sharing for ai on vmware to see how and give you the power to optimize your workloads
118,starting in minutes session details how can drive your businesss modernization strategy with and  this will highlight day of  includes a great customer story from gmbh
119,  ceo
120,are you enjoying so far dont forget to check out one of your local watch parties find the list here
121,good morning check out the day agenda for euc
122,were you struggling sometimes because of all the project names that have been mentioned like project capitola project ensemble and project arctic if yes have a look at this short blog
123,yo whos got the zoom link been missing all the fun
124,beer time while watching sessions
125,multicloud infrastructure announcements from  all in one place
126,
127,today at 30 pm et dont miss s live session design vsphere for disaster recovery at have a special guest aka he will be hidden in the slides join in on the hunt and see how many times you spot him
128,
129,thank you for the great event and incredible speakers so cool to see the great will smith at 
130,watching fireside chat with will smith and i must say his fireplace game is in point
131,take a hands on lab and hear the story of how to operationalize your multiclouds with vrealize private hybrid public k8s
132,en el marco de  present las ltimas innovaciones de vmware security que ofrecen una mejor para las aplicaciones
133,luck favors disciplinethere is a relationship between luck and disciplineclear about what i wanted  rap music obsessive bug with acting wise words from the mr will smith
134,what about that guy on the second day of yeah is a tech event about peoplethanks for that 
135,want to learn about  join and i in our techtalk session where we go over the project and provide insights on setting it up our session starts in minutes so come join us
136,will is in the house its falling that we succeed
137,new note alert  doubles down on the and focuses on flexibility and speed great overview and insights via s senior analyst 
138,nueva edicin de con la hibridez como el modelo que sigue siendo imperante en la estrategia de  insiste en la libertad de eleccin como mantra obligado en un entorno y  en
139,on my way to the party in central london feeling strange after nearly two years of not being onsite
140,turn the ordinary into extraordinary join amine el badaoui and brad mcconnell from rackspace and ken lamoreaux from  in a fascinating chat to redefine the limits of possibility with the vmware cloud register now
141,off to a great start with will smith and fireside chat will shared this gem ive always said that i make my own luck but this is a good framing too
142,dont miss out on the opportunity to connect with shad williams global technical solutions architect and michael barnett for a chat on starting with horizon cloud services on 
143,las organizaciones dependen en gran medida de las tecnologas en la nube para evolucionar en una economa digital la estrategia centrada en las nubes mltiples de vmware lo ubica en una posicin slida
144,upload of more memories in progress during  but until they are finished we invite you to join us in a trip down memory lane
145,en uiteraard gaan we weer lekker door
146,on demand wendy gonzalez ceo at sama named one of the most promising ai companies in the forbes ai list for  chats wi esg vice president to discuss driving environmental and social change through tech
147, targets the challenging multicloud universe with a raft of new offerings
148,wicked new experience workflows is running dell boomi
149,its great to at least have some live sessions just finished the first session with about vlcm and  good attendance great questions and interaction this is what vmworld is about tomorrows session is live as well
150,daynight at
151, 25 am pdt enjoy a break from the sessions with michael bourada magician and mentalist who has appeared on penn amp teller fool us performs several engaging and thrilling magic and mental feats
152,vmware takes the wraps off vmware edge a platform designed to run manage and secure edgenative apps across multiple clouds posts  linkedin
153,day of and catches up with to get the details of and  enjoy
154,dont run your cron jobs on the hour or on the half hour and youll reduce your carbon footprint
155,let see what this session is going to bring me
156,seeing as the keynote is split into two this can only mean one thing right
157,yep unfortunately a major issue here too at least ive saved the pass because for sure there will be quality time back thrilled about the workspaceone xr hub 
158,today  dont miss out on learning from experts at   and on the importance of marketplaces to help customers solve their tech issues join the rise of b2b marketplaces and the role of vmware marketplace session at 
159,tanzu se ha convertido en la joya de la corona de vmware porque las empresas estn invirtiendo en modernizacin de aplicaciones y servicios con la agilidad de la nube
160,yes which speakers are you tuning into
161, el modelo como parte del adn de
162, hoy se desarroll el evento multicloud del ao present las ltimas innovaciones de vmware security que ofrecen una mejor para las aplicaciones
163,ztna lets go contact your vmware team today
164,we just wrapped up our day euc keynote at and we have lots of blogs out now including on our nextgen horizon platform
165,were finally allowed to talk about the nextgen hybrid daas architecture i am super excited about this more info
166,come check out our sessions amp demos at  live session mcl3023s today at pm edt
167,incredible learnings from the design sessions with our customers looking forward to
168,t minus minutes before the nerdfest will begin at and myself in session and enjoy two passionate euc geeks fully nerding out on
169,watch this partner showcase video to learn how were working with to help businesses transform their posture through adoption big thanks to for the amazing session
170, send a new shirt please
171,ready for meet the experts speed up your kubernetes adoption with vmware cloud foundation and tanzu  please feel free to join the session
172,heres a complete list of all our and blog posts for  just updated with all the day and day posts
173,anyone in for some jamon and patatas bravas ill be here in minutes
174,big announcements at for disaster recovery and welcome mark chuang to discuss and  enjoy
175,looking to build or enhance your organizations cloud provider program our very own rob seemann senior vice president product strategy amp innovation will be joining a discussion about anywhere workspace at
