,tweets_text_processed
0,props to not impossible lab their work to do good is inspiring mick ebeling amp team keep doing the good fight as a force of change nothing is impossible getting outside the box
1,in your language we put together experts from and we summarize yourself in this live stream the most relevant of vmworld2021
2,watch this interview to learn how and can help you move towards your sustainability goals and solve issues such as meeting carbon credit quotas
3,whats new in multicloud at
4,watch this interview to learn how and can help you move towards your sustainability goals and solve issues such as meeting carbon credit quotas
5,starting in minutes session details how can drive your businesss modernization strategy with and  includes a great customer story from gmbh raising hands
6,morning an early start today
7,hello its time for round of the for that really matters the results are in from the first session and people loved it will be up all night moderating this great session come and join me and 
8,proud to announce that is now available on the marketplace   imagine that if you want to know more join us at one of my favorite events of the year 
9,join us for a 1 feedback session at 
10,last simulive session of the day coming up or first of the next day then we start again in the morning im up just as late as i would be if this thing was liveinperson
11,vmware cmty podcast  workspace one amp multicloud
12,well you can tell its late in an earlier run of this session we had like questions by now at utc theres not a single one yet
13,me talking about automating vsphere using ansible in
14,vmware ceos boldest remarks at vmworld
15,vmworld  anywhere workspace and enduser computing announcement and keynote recap
16,raghu raghuram shares how vmware is providing a consistent developer experience
17,groundbreaking organizations earn firstever vmworld customer excellence awards
18,vmware solution logical design  deployment and connectivity
19,accelerating workloads on with a technical preview of clusters with gpus
20,vmware extends tanzu support for nvidia ai enterprise
21,vmware crosscloud services enable your organization to advance toward your digital business goals while streamlining operations and maintaining enterprise control
22,another great set of 1 sessions with customers during the always a pleasure to chat about nsx and their design
23,the any device anywhere everyonemigrating to the amp    join us in
24,up three execution factories using
25,stakes its claim in  kathy gibson reports from where raghu raghuram ceo of vmware notes extra complexity and cost 
26,great session guys  truly enjoyed the conversation you should create a todo or prerequisite list from the field learnings of multicloud based on your live experiences with customers
27,day1 of was awesomelooking forward to day2hurray i have completed all the vmworld challenges yesterday just waiting for the swags to comethanks again for such a wonderful event
28,the power of andfreedom and control in anywhere access and autonomy and ceo at
29,struggling to keep up with all the awesome announcements from  almost all of them are here for easier consumption
30,struggling might be a little bit too sticky is omg wow keep on blogging michael no this is not the bridging gap protocol
31,were sponsoring and its live now visit our virtual booth to see  which monitors   and  register now
32,h8h 18h35 for my snyk talk its here continuity of my talk of vmworld2021 with a focus on the signature image pane which what how why
33,another great start to the day with a talk by the one and only will smith great insight in to him and his life motivations and legacy
34,proud and honored that my blog on advanced cross vcenter vmotion was awarded during the vexpert vmworld party yesterday congrats to the other vexperts that where rewarded on this and other categorys
35,great project monterey presentation looks exciting for the future
36,giveaway win a marshall bluetooth speaker enter through this link
37,giveaway win a marshall bluetooth speaker enter through this link
38,blogvrealize operations announced at vmworld 
39,really liking the new features and changes for in regard to workspace one tunnel see for yourself in zero trust based alternatives to a legacy vpn eus2674
40,imagine that how gaming could evolve when could virtualize gaming hw amp accerlate infrastructure with in an easy way
41,check out session app modernization deep dive w and by if you want to learn more about app modernization in general vmware cloud w tanzu services and application transformer great content and highly recommend
42,here we are watching the vmworld2021 and the uncut sheet of beta that david williams has in his x
43,announcing skyline advisor pro the next level of proactive intelligence
44,imagine that  all major cloud ceos part of enabling true as the industry moves from to
45,ive just watched the session make your move to multicloud kubernetes with vmware tanzu app3117 a really good session helping understand all the tanzu components here is my doodle if of use please give it a like
46,living in the multicloud world
47,come and see our sessions amp demos at or visit us at
48,you are running nsx for vsphere nsxv its time to move to nsxt check out andrew voltmers case study on migration from v to t with jeanphilippe tremblay from 
49,from their session and suggest that the overnight carbonmix is worse does that mean that if we charge our cars overnight to get the cheap rate were actually having a worse carbon impact
50,heading into some weeds here  with postquantum cryptography  this is going to be an industry issue on the not to distant future
51,here is my doodle from the session the vmware multicloud computing infrastructure strategy of mcl3217 really useful to understand some of the innovation from around multicloud
52,a pleasure after a year and a half very hard to return to resume social lifeand what better to meet with  partners and customers on vmworld2021 and give us their vision
53,would you like to see how i was able to run star wars squadrons in vr through and  join me and in session in minutes
54,dont forget to use code vmworld2021 to upgrade or renew your subscription you could win oculus quest virtual reality headset or samsung galaxy buds plus sign up today
55,im no euc guy but how cool are those demos during vdi nerdfest  demos that make admins drool eus1289 at  love the star wars team thanks master vjedis and 
56,impressions of my session about immutable storage thanks so much for the kind words and the good feedback the session will be on the youtubechannel later this week also many thanks to all speakers and staff what a great community
57,dell technologisties vmworld2021
58,technologies sponsored vmworld backpack vmword2021
